,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,0,1,0,0,0,0,0,2,2,0,0,1
1,1,2,0,0,0,1,0,1,1,0,0,1
2,1,1,0,0,0,0,0,2,1,0,0,1
3,2,0,2,0,0,0,0,2,1,0,0,1
4,0,1,0,0,0,0,0,2,2,0,0,1
5,0,1,0,0,0,0,0,2,2,0,0,1
6,1,1,0,0,0,0,0,1,1,0,0,1
7,0,1,0,0,0,0,0,1,2,0,0,2
8,1,1,0,0,0,0,0,1,1,0,0,2
9,1,1,1,1,0,0,1,2,1,1,1,1
10,0,1,0,0,0,0,0,1,1,0,0,1
11,1,1,1,1,0,0,1,2,1,1,1,1
12,0,1,0,0,0,0,0,1,2,0,0,1
13,1,1,1,0,0,0,0,2,1,2,0,1
14,1,1,0,0,1,2,1,2,1,1,0,1
15,1,1,0,0,1,2,2,2,1,1,0,1
16,1,0,2,0,0,1,1,2,1,1,1,2
17,1,1,1,0,2,0,0,1,1,2,0,1
18,0,1,0,0,0,0,0,2,2,0,0,0
19,1,0,2,0,2,0,0,2,0,1,0,1
20,1,0,1,0,0,1,0,1,2,0,0,1
21,1,0,1,0,0,1,0,2,2,0,0,1
22,1,0,0,0,0,0,0,1,1,1,0,1
23,1,1,0,0,0,0,0,1,1,0,0,1
24,0,0,0,0,0,1,0,1,2,0,0,1
25,0,0,0,0,0,0,0,1,1,0,0,1
26,1,0,0,0,0,0,0,1,1,0,0,1
27,1,0,0,0,0,0,0,1,1,1,0,1
28,0,1,0,0,0,0,0,2,2,0,0,1
29,1,1,0,0,0,0,0,1,2,0,0,1
30,0,1,0,0,0,0,1,1,1,0,1,1
31,0,1,0,0,0,1,0,1,2,0,1,1
32,1,1,0,0,0,0,1,1,1,0,0,1
33,0,1,0,2,0,2,1,2,2,0,0,1
34,0,0,1,0,0,0,0,1,2,0,0,1
35,1,1,0,1,0,0,0,2,2,0,0,1
36,1,1,0,0,0,0,0,2,2,0,1,1
37,1,0,1,0,0,0,0,1,1,0,0,2
38,0,2,0,0,1,0,0,1,2,0,0,0
39,0,0,1,1,0,0,1,2,1,1,1,1
40,0,0,1,1,0,0,1,2,1,1,1,1
41,1,1,1,0,0,0,0,2,1,0,0,0
42,1,1,0,0,2,0,0,1,1,1,1,1
43,1,1,0,0,0,0,0,1,1,2,1,1
44,0,1,0,0,0,0,0,1,2,0,0,1
45,0,1,0,0,0,0,0,0,3,0,2,0
46,1,2,1,0,0,1,1,2,1,0,0,1
47,1,0,2,0,0,0,0,2,1,0,0,1
48,0,0,0,0,0,0,0,1,1,0,0,1
49,0,0,1,0,0,0,1,1,1,0,0,1
50,1,1,1,0,0,0,0,2,1,0,0,1
51,0,1,0,0,0,0,0,1,2,0,0,1
52,0,1,0,0,0,0,0,1,2,0,0,1
53,1,0,1,0,0,1,1,2,1,0,0,1
54,1,1,0,0,0,1,0,1,1,0,1,1
55,1,1,0,0,0,1,0,2,1,0,0,1
56,1,0,2,0,0,0,0,2,0,0,0,1
57,1,1,0,1,0,2,1,2,1,1,0,1
58,1,1,0,0,0,0,0,2,2,0,0,1
59,0,0,1,0,0,0,0,1,2,0,0,1
60,1,0,1,0,0,1,0,2,2,0,0,1
61,1,1,1,0,0,1,1,1,1,0,0,1
62,1,1,0,0,0,0,0,1,2,0,0,2
63,0,1,0,0,0,0,0,1,2,0,0,1
64,0,1,0,1,0,0,0,1,2,0,1,1
65,0,1,0,1,0,0,0,1,2,0,1,1
66,1,1,0,0,0,0,0,1,2,0,0,1
67,0,1,0,0,0,0,0,1,2,0,1,1
68,1,0,2,0,0,1,0,2,1,1,1,1
69,1,1,0,0,0,0,0,1,1,1,1,1
70,1,1,0,0,0,0,0,1,1,0,0,1
71,1,1,0,0,0,0,1,1,1,0,0,1
72,1,1,0,0,0,0,1,1,1,0,0,1
73,1,1,1,0,0,0,0,2,1,0,0,0
74,1,0,2,0,0,1,1,2,1,1,0,1
75,1,0,2,0,0,0,0,2,2,0,1,1
76,1,0,2,0,0,0,0,2,2,0,1,1
77,0,1,0,0,0,0,0,1,2,0,1,1
78,0,1,0,0,0,0,1,1,2,0,1,1
79,1,1,0,0,0,1,1,2,1,1,0,0
80,0,0,0,0,0,0,0,1,2,0,0,1
81,1,0,2,0,3,1,0,2,1,2,0,1
82,0,1,1,0,0,1,0,2,1,0,0,1
83,0,1,1,0,2,0,0,2,1,1,0,1
84,0,0,1,0,0,0,0,1,2,1,1,1
85,0,1,0,0,0,1,0,1,2,0,1,1
86,1,1,1,0,0,1,1,2,0,3,0,1
87,1,1,1,0,0,0,0,1,2,0,0,1
88,1,0,1,0,0,1,1,2,1,2,0,1
89,0,1,0,0,0,0,0,2,2,0,0,1
90,1,1,1,0,0,2,1,1,1,0,0,1
91,1,1,1,0,0,1,1,2,0,3,0,1
92,1,1,1,0,0,1,1,2,0,3,0,1
93,1,1,1,0,0,0,0,1,2,0,0,1
94,0,2,0,0,0,2,1,1,3,0,1,0
95,0,1,0,0,0,0,1,0,3,0,2,1
96,0,1,0,0,0,0,0,1,2,0,1,1
97,0,1,1,0,0,0,0,1,1,0,0,1
98,1,2,0,0,0,0,0,1,2,0,0,1
99,1,1,0,0,0,0,0,2,1,0,0,1
100,1,1,1,0,0,0,0,2,2,0,1,1
101,1,1,1,0,0,0,0,1,1,0,1,1
102,1,1,0,0,0,0,0,2,1,0,0,1
103,1,1,0,0,0,0,0,1,1,0,0,1
104,0,1,0,0,0,0,0,1,1,0,0,1
105,1,1,0,0,0,0,0,1,1,0,0,1
106,1,0,2,0,3,0,0,2,1,2,0,1
107,0,1,1,0,0,0,0,2,2,1,0,1
108,1,0,2,0,0,0,1,2,1,1,0,1
109,1,1,2,0,0,2,2,2,1,0,0,1
110,1,1,0,0,0,0,0,1,1,1,0,1
111,1,1,0,0,0,0,1,1,1,0,0,1
112,1,1,0,0,0,0,1,1,1,0,0,1
113,1,0,1,0,0,1,0,2,1,0,0,1
114,1,1,0,0,0,0,0,1,1,1,0,1
115,1,0,1,0,0,0,0,1,1,0,1,1
116,1,1,1,0,0,0,0,2,2,0,0,1
117,1,1,0,0,0,0,0,2,1,0,0,1
118,1,1,0,0,0,0,0,1,1,0,1,1
119,0,1,0,0,0,1,1,1,1,0,0,1
120,0,2,0,0,1,0,1,1,1,0,0,1
121,1,1,0,0,0,0,0,1,1,0,1,1
122,0,1,0,0,0,0,0,2,2,0,0,1
123,1,1,0,0,0,0,0,2,2,0,0,1
124,1,1,0,0,0,1,1,1,2,0,0,1
125,1,1,0,0,0,1,1,2,1,0,0,1
126,1,3,0,0,0,0,0,1,2,0,1,1
127,1,3,0,0,0,0,0,1,2,0,1,1
128,1,1,0,0,0,0,0,1,2,1,1,2
129,0,0,0,0,0,0,0,1,2,0,0,1
130,1,1,2,0,0,1,1,1,1,0,0,1
131,0,1,0,0,0,0,1,1,2,0,2,1
132,0,1,0,0,0,0,1,1,2,0,2,1
133,0,1,0,0,0,0,0,1,2,0,0,1
134,1,2,0,0,0,0,0,1,1,0,0,1
135,1,1,0,0,0,0,0,1,1,1,0,1
136,1,1,0,0,0,0,0,1,1,1,0,1
137,0,0,1,0,0,0,0,2,2,0,0,1
138,1,1,0,0,0,0,1,1,1,0,0,1
139,1,1,0,0,0,0,1,1,1,0,0,1
140,1,1,0,0,0,0,0,1,1,1,0,1
141,1,1,0,0,0,0,0,1,1,1,0,1
142,0,0,0,0,0,1,0,0,2,1,3,1
143,0,0,0,0,0,0,0,1,1,0,0,1
144,0,0,0,0,0,1,0,0,2,1,3,1
145,1,1,2,0,0,1,1,1,1,0,0,1
146,0,1,0,0,0,1,1,1,2,0,0,1
147,1,1,1,0,1,0,1,1,1,1,0,1
148,0,1,0,0,0,0,0,1,2,0,1,1
149,1,0,1,0,0,0,0,2,2,0,1,1
150,0,0,1,0,0,0,0,1,1,0,1,1
151,1,1,3,0,3,1,0,2,0,3,0,0
152,1,1,0,0,0,1,1,1,1,0,1,1
153,1,1,0,0,0,1,1,1,1,0,1,1
154,0,0,1,1,0,1,1,2,2,0,1,1
155,0,0,1,1,0,1,1,2,2,0,1,1
156,0,0,1,1,0,1,1,2,2,0,1,1
157,0,0,1,1,0,1,1,2,2,0,1,1
158,0,1,0,0,0,0,0,2,2,0,0,1
159,0,1,0,0,0,0,1,1,2,0,0,1
160,1,2,0,0,0,0,0,1,1,0,0,1
161,1,1,0,0,0,0,0,1,1,1,0,0
162,1,1,0,0,0,0,0,1,1,0,0,1
163,0,1,1,1,0,1,1,2,1,0,0,1
164,0,1,1,1,0,1,1,2,1,0,0,1
165,1,1,1,0,0,0,1,1,1,0,0,1
166,0,1,0,0,0,0,1,1,1,0,1,1
167,0,1,0,0,0,0,0,1,1,0,0,0
168,0,1,0,0,0,0,0,1,2,0,1,1
169,1,1,0,0,2,0,0,1,0,3,0,1
170,1,2,0,0,0,0,0,2,1,0,0,0
171,1,0,0,0,0,0,0,2,1,0,0,1
172,1,0,0,0,0,0,0,2,1,0,0,1
173,0,1,0,0,0,1,0,1,2,0,1,1
174,0,0,0,0,0,0,0,1,1,0,0,1
175,0,1,0,0,0,1,0,1,1,1,0,1
176,0,0,0,0,0,0,0,1,1,0,0,1
177,1,1,1,0,0,0,0,2,2,0,1,1
178,0,1,0,0,0,0,0,2,2,0,0,1
179,1,1,0,0,0,0,0,2,1,0,0,1
180,1,1,0,0,0,0,0,2,1,0,0,1
181,1,1,1,0,1,1,1,2,1,1,0,1
182,0,1,0,0,0,0,0,2,2,0,0,1
183,0,1,0,0,0,0,0,2,2,0,0,1
184,0,1,0,0,0,0,0,2,2,0,0,1
185,1,0,2,0,0,1,1,2,1,0,0,1
186,0,0,1,0,0,0,0,2,1,0,0,1
187,1,1,0,0,0,0,0,2,2,0,0,1
188,1,1,1,0,0,0,1,1,1,0,0,1
189,1,1,1,0,0,0,1,1,1,0,0,1
190,1,1,1,0,0,1,1,2,1,0,0,1
191,0,0,1,0,0,1,0,2,2,0,0,1
192,0,1,0,0,0,0,1,2,1,0,0,1
193,1,1,0,0,0,0,0,1,1,0,0,1
194,1,1,0,0,0,0,0,1,1,0,0,1
195,1,1,1,0,0,1,1,1,1,0,0,1
196,0,1,1,0,0,0,0,1,2,0,1,1
197,2,0,2,0,0,0,0,2,1,1,1,1
198,0,1,0,0,0,0,1,0,2,1,2,2
199,0,2,0,0,0,0,0,1,2,0,1,0
200,1,0,1,0,0,0,0,2,1,1,1,2
201,1,0,1,0,0,2,1,2,0,1,0,1
202,0,1,0,0,0,0,0,1,1,1,0,1
203,0,0,1,0,0,0,0,1,1,0,0,1
204,0,0,1,0,0,0,0,1,1,0,0,1
205,2,0,2,0,0,0,0,2,1,1,1,2
206,2,0,2,0,0,0,0,2,1,1,1,2
207,1,1,1,0,0,1,1,1,1,0,0,1
208,1,0,1,0,0,0,1,1,1,0,0,1
209,2,0,2,0,0,0,0,2,1,1,1,2
210,1,1,2,0,0,0,0,1,1,1,2,1
211,1,1,0,0,0,0,0,1,1,0,0,1
212,2,0,2,0,0,0,0,2,1,0,1,1
213,1,1,1,0,0,1,0,1,1,0,1,1
214,1,1,0,0,0,0,0,2,1,0,0,1
215,0,1,1,1,0,1,1,2,1,1,1,1
216,1,1,0,0,0,0,0,1,1,0,1,1
217,1,1,0,0,0,0,0,1,1,0,0,1
218,1,1,0,0,0,0,0,1,2,0,0,1
219,1,1,1,0,0,1,1,1,1,0,0,1
220,1,0,1,0,0,1,0,1,1,0,0,1
221,0,1,1,0,0,0,0,1,1,0,0,1
222,0,1,0,0,0,0,0,1,2,0,0,1
223,1,1,1,0,0,0,0,2,1,0,0,1
224,1,1,1,0,0,0,0,2,1,0,1,0
225,1,0,1,0,0,1,0,1,1,0,1,1
226,1,1,2,0,2,1,1,1,0,3,0,1
227,1,1,0,0,0,0,0,2,2,0,0,1
228,1,0,1,0,0,1,0,1,1,0,1,1
229,0,1,1,0,0,0,0,1,2,0,1,1
230,0,0,0,0,0,1,1,0,2,0,2,2
231,1,0,0,0,0,0,0,1,1,0,0,1
232,1,0,0,0,0,0,0,2,1,0,0,1
233,0,1,1,0,0,0,0,1,2,0,1,1
234,1,2,0,0,0,0,0,1,1,0,0,1
235,0,1,0,0,0,0,0,1,1,0,0,1
236,0,1,0,0,0,0,0,1,1,0,0,1
237,0,1,0,0,0,0,0,1,1,0,0,1
238,0,1,0,0,0,0,0,1,1,0,0,1
239,1,2,0,0,0,0,0,1,1,0,0,1
240,1,1,1,0,1,0,0,2,0,1,0,1
241,2,0,2,0,0,0,0,2,1,0,1,1
242,1,1,0,0,0,1,1,1,1,0,0,1
243,3,0,1,0,0,0,0,2,1,1,0,2
244,3,0,1,0,0,0,0,2,1,1,0,2
245,0,1,0,0,0,0,0,2,2,1,0,1
246,0,1,0,0,0,0,0,1,2,0,0,1
247,1,1,0,0,0,0,0,1,1,0,0,1
248,1,1,0,0,0,0,0,1,1,0,0,1
249,0,1,0,0,0,0,0,2,2,1,0,1
250,2,0,1,0,0,0,0,2,1,1,0,1
251,0,1,0,0,0,0,0,2,2,0,0,1
252,2,0,1,0,0,0,0,2,1,0,1,1
253,1,1,1,0,0,0,1,1,1,0,0,1
254,0,1,0,0,0,0,0,2,2,0,0,1
255,1,1,0,0,0,0,1,1,1,0,0,1
256,1,0,1,0,0,0,0,2,1,0,0,1
257,0,1,0,0,0,0,0,1,2,0,0,1
258,1,0,3,0,3,0,0,1,1,2,0,1
259,1,0,1,0,0,0,0,2,1,1,1,2
260,1,0,0,0,0,0,0,1,1,0,0,1
261,0,2,0,0,0,0,0,1,1,0,0,0
262,1,1,0,0,0,0,0,1,1,0,0,1
263,1,0,0,0,0,1,0,1,1,0,0,1
264,2,1,1,0,0,0,0,2,1,1,1,1
265,2,0,2,0,0,0,0,1,1,0,1,2
266,1,2,0,0,0,1,0,2,2,0,0,0
267,1,0,1,0,0,0,0,2,1,1,2,2
268,0,1,0,0,0,0,0,2,2,1,0,1
269,2,0,2,0,0,0,0,2,1,1,1,1
270,1,1,0,0,0,1,0,1,1,0,1,1
271,2,0,2,0,0,0,0,2,1,1,1,1
272,2,0,2,0,0,0,0,2,1,1,1,1
273,1,1,0,0,0,0,0,2,1,0,0,1
274,1,1,0,1,0,1,1,2,2,1,0,1
275,1,1,0,0,0,1,0,1,1,0,1,1
276,0,1,0,0,0,0,0,2,2,1,0,1
277,2,0,2,0,0,0,0,2,1,1,1,1
278,2,0,1,1,0,0,0,2,1,1,2,2
279,1,0,1,1,0,0,0,2,2,1,1,2
280,2,0,1,0,0,0,0,2,1,1,0,1
281,1,0,2,0,2,0,0,2,1,1,0,2
282,1,1,0,0,0,0,0,2,1,0,0,1
283,1,0,1,1,0,0,0,2,2,1,1,2
284,1,1,0,0,0,1,0,2,1,0,0,1
285,1,1,0,0,0,1,0,2,1,0,0,1
286,2,0,2,0,0,1,0,2,1,1,1,1
287,1,0,0,0,0,1,0,1,1,0,1,1
288,1,1,0,0,0,1,0,2,1,1,1,2
289,2,0,2,0,0,1,1,3,1,1,0,1
290,1,1,0,0,0,1,0,2,1,1,1,2
291,2,0,1,0,2,0,0,2,1,0,1,1
292,2,1,0,0,0,0,0,2,1,0,1,1
293,0,0,1,0,0,0,0,1,2,0,1,1
294,3,0,2,0,0,0,0,3,0,1,0,1
295,2,1,1,0,0,0,0,2,0,0,0,1
296,2,1,1,0,0,1,0,2,1,0,0,1
297,0,1,0,0,0,0,0,2,2,0,0,1
298,0,1,0,0,0,0,0,2,2,1,0,1
299,0,1,0,0,0,0,0,2,2,0,0,1
300,1,1,0,0,0,1,0,1,2,0,1,1
301,2,0,1,0,0,0,0,2,1,0,1,1
302,1,1,0,0,0,0,0,2,2,0,0,1
303,0,1,0,0,1,0,0,1,2,0,0,1
304,1,1,2,0,0,0,1,2,1,0,0,1
305,2,1,1,0,0,0,0,2,1,0,0,1
306,1,1,1,0,0,0,0,1,1,0,0,1
307,2,0,1,0,1,0,0,2,1,0,0,1
308,2,0,1,0,1,0,0,2,1,0,0,1
309,0,0,1,0,0,0,0,1,2,0,0,1
310,2,1,1,0,0,0,0,2,1,0,0,1
311,1,1,0,0,0,0,1,1,1,0,0,1
312,1,0,1,0,0,1,1,2,1,0,0,1
313,1,0,1,0,0,1,1,2,1,0,0,1
314,0,0,1,0,0,1,0,1,2,0,1,1
315,0,0,1,0,0,1,0,1,2,0,1,1
316,1,1,0,0,0,2,1,2,1,0,1,1
317,1,1,0,0,0,1,0,2,1,0,1,1
318,1,1,1,0,0,1,0,2,1,0,1,2
319,1,1,0,0,0,1,0,2,1,0,1,1
320,1,1,1,0,0,1,0,2,1,0,1,2
321,1,1,1,0,0,1,1,2,1,0,0,1
322,1,1,0,0,0,0,0,2,1,0,0,1
323,2,1,1,0,0,1,0,2,1,0,0,1
324,1,1,0,2,0,0,0,3,1,0,0,1
325,1,1,0,2,0,0,0,3,1,0,0,1
326,2,1,2,0,0,0,0,2,0,0,1,2
327,2,0,2,0,0,0,0,2,1,1,1,1
328,3,0,2,0,0,0,0,2,1,0,0,1
329,2,0,1,0,0,0,0,2,1,0,0,1
330,1,0,2,0,0,0,0,2,1,0,2,1
331,1,0,2,0,0,0,0,2,1,0,2,1
332,1,1,1,0,0,1,1,2,1,0,0,1
333,1,1,0,0,0,0,0,1,1,0,1,1
334,1,1,0,0,0,0,0,1,1,0,2,2
335,2,1,2,0,0,0,0,2,1,1,2,2
336,1,0,1,0,0,0,0,1,1,0,2,1
337,1,0,1,0,0,1,0,2,1,0,1,1
338,2,1,2,0,0,1,1,3,1,1,1,1
339,2,0,2,0,0,0,0,2,1,2,0,2
340,2,0,2,0,0,0,0,2,1,2,0,1
341,2,0,1,0,0,0,0,2,1,1,1,1
342,2,0,1,0,0,0,0,2,1,1,0,1
343,2,0,1,0,0,0,0,2,1,1,0,1
344,2,1,2,0,0,0,0,3,1,1,1,1
345,0,1,0,0,0,2,0,2,2,1,0,1
346,0,1,0,0,0,0,0,1,2,1,2,2
347,3,1,2,0,0,0,0,2,0,1,2,1
348,1,1,1,0,0,0,0,2,1,1,0,1
349,1,1,0,0,0,0,0,2,1,1,0,1
350,2,1,0,0,0,0,0,3,1,1,0,1
351,1,1,0,0,0,0,0,2,1,1,0,1
352,1,1,0,0,0,0,0,2,1,0,0,1
353,3,1,3,1,0,1,1,3,1,1,2,1
354,0,0,1,0,0,2,2,0,1,0,2,1
355,0,1,0,0,0,0,0,1,2,0,2,1
356,2,0,2,0,0,1,0,2,1,1,1,1
357,2,0,2,0,0,0,0,2,1,1,2,2
358,2,0,2,0,0,0,0,2,1,1,1,2
359,2,0,2,0,0,0,0,3,1,0,0,1
360,1,1,0,0,0,0,1,2,1,0,0,1
361,1,0,1,0,0,1,0,2,1,1,0,1
362,2,1,2,0,0,0,0,2,0,0,0,1
363,2,0,2,0,0,0,0,2,0,1,1,1
364,2,1,2,1,0,0,0,3,1,0,0,2
365,1,0,2,0,0,0,0,2,1,1,2,1
366,2,1,2,1,0,0,0,3,1,0,0,2
367,2,1,2,0,0,0,0,2,1,0,0,1
368,2,0,2,0,0,0,0,2,1,0,0,1
369,1,0,2,0,0,0,0,1,1,1,2,2
370,0,1,0,0,0,1,0,2,2,1,0,1
371,1,0,1,0,0,0,0,1,1,1,0,1
372,1,0,1,0,0,1,0,1,1,1,1,1
373,0,1,0,0,0,0,0,1,0,0,0,1
374,3,0,2,0,0,0,0,3,0,1,1,1
375,2,1,2,0,0,0,0,2,0,1,2,2
376,2,0,2,0,0,1,0,3,1,1,1,1
377,1,0,2,0,0,0,0,1,1,1,2,2
378,2,1,2,1,0,0,0,2,1,1,3,1
379,1,0,1,0,0,1,0,2,1,0,1,1
380,1,0,1,0,0,0,0,2,1,1,0,1
381,3,0,2,0,0,0,0,3,1,1,0,1
382,1,0,1,0,0,0,0,2,1,1,0,1
383,1,0,1,0,0,0,0,2,1,1,0,1
384,1,1,1,0,0,1,0,2,2,0,0,1
385,0,1,0,0,0,0,0,2,2,1,0,1
386,1,1,1,0,0,1,0,2,2,0,0,1
387,1,1,0,0,0,0,0,2,1,0,0,1
388,1,0,1,0,0,1,0,2,2,0,0,1
389,1,0,1,0,0,0,0,2,1,0,0,2
390,0,1,0,0,0,0,1,0,2,1,2,2
391,3,0,2,0,0,0,0,3,1,1,0,1
392,1,0,2,0,0,0,0,2,1,0,0,1
393,1,1,2,0,0,0,1,2,1,0,0,1
394,2,1,2,0,0,0,0,2,0,0,0,1
395,2,0,3,0,0,0,0,3,1,0,2,2
396,0,1,0,1,0,3,1,2,2,0,0,1
397,2,1,2,0,0,0,0,2,1,0,1,1
398,2,1,2,0,0,0,0,2,1,0,1,1
399,1,1,0,0,0,0,0,1,1,0,0,1
400,0,1,0,1,0,3,1,2,2,0,0,1
401,1,0,1,0,0,1,0,1,1,0,1,1
402,2,0,2,0,0,1,0,2,1,0,1,1
